"data_mean","data_mean_IA","mean_SC","mean_SC_IA","mean_SF","mean_SF_IA","mean_ZCR","mean_ZCR_IA"
-319.378408984752,-300.686819945782,1347.74296424756,722.190616398643,2129.69128874175,1204.03021942365,2129.69128874175,1204.03021942365
-459.909465671207,-246.566316972248,1006.33212183943,950.143630177818,1294.68383790858,1574.07381515796,1294.68383790858,1574.07381515796
-402.691924186726,-347.334064560952,669.786868831076,1010.71025483483,845.861551877922,1768.13514168964,845.861551877922,1768.13514168964
-169.257008417252,-310.536722059094,1702.92396230971,1458.02282661968,3211.10974956472,2775.1665523054,3211.10974956472,2775.1665523054
-403.022603942028,-458.331662858707,621.204829260294,557.625241173325,989.88984762808,887.877964466711,989.88984762808,887.877964466711
-412.556132408475,-405.622291424149,1904.21785158247,2315.85849034278,2994.81522413106,3623.17392453471,2994.81522413106,3623.17392453471
-181.270499007933,-476.082949532616,1609.25527190441,1892.76184404146,3252.95532985562,1969.11309304809,3252.95532985562,1969.11309304809
-183.471485653986,-334.871061969543,1626.66739898104,680.086598551269,3132.64355736989,1034.73540978919,3132.64355736989,1034.73540978919
-255.583628438932,-283.910758523568,1238.39837278529,761.297870774312,2256.58635478209,1166.1512818058,2256.58635478209,1166.1512818058
-353.273057613506,-304.299669514706,2285.37382943924,665.525302755176,3780.78963811269,1068.2768736159,3780.78963811269,1068.2768736159
-557.439972360875,-399.833425434327,908.336581524961,838.834490023073,994.335654093901,1301.4379637392,994.335654093901,1301.4379637392
-557.439972360875,-356.568097064241,908.336581524961,607.208143301218,994.335654093901,788.566064986602,994.335654093901,788.566064986602
-275.311761307345,-364.648100343034,1827.14631693173,1321.61935415299,3350.27557471467,2357.93990856342,3350.27557471467,2357.93990856342
-406.536041165519,-246.566316972248,1684.26428181823,950.143630177818,2433.50611827328,1574.07381515796,2433.50611827328,1574.07381515796
-402.427557806231,-403.28216207887,1165.35967641606,1325.50686895611,1705.73551902879,1913.61342867698,1705.73551902879,1913.61342867698
-386.02693005654,-351.718153679412,1425.17003971649,1539.88487243589,2189.13259598397,2427.78531954718,2189.13259598397,2427.78531954718
-321.088177359791,-602.735869995472,1568.96801871896,1230.44930539353,2449.83101957964,1112.67243850337,2449.83101957964,1112.67243850337
-277.546619338042,-410.533859732353,1331.68759876037,769.211287747716,2158.16194992287,884.28215289243,2158.16194992287,884.28215289243
-325.429560205267,-338.698357686223,1467.00142848615,574.347757054775,2133.30376689709,878.165523204156,2133.30376689709,878.165523204156
