,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\AnotherRag.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Bach.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Beethoven.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Breathless.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Chopin.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\ComingHome.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\FromTheWillowsKeep.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\InventionNo1.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\InventionNo2.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\InventionNo3.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Mahler.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Mazurka.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Messiaen.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Mozart.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\MozartActI.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\MozartActII.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Prescience.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\SonataI.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\SonataII.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\SpaceTime.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Suite.wav,C:\Users\zoar_\OneDrive\ED\Escritorio\librosasongsIA\Vivaldi.wav
0,0.0,0.0,0.0,0.0,0.0,0.0,2240.1461460102264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632.103183411457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,2272.1925861338054,2859.4467212498193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1287.5109768127625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,1270.0511294133466,0.0,2107.619447800807,2576.4195650100373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.8304045888822,0.0,1788.244812090852,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,1236.9398807563025,0.0,2368.4606215885547,2298.885300015375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491.4723740743944,0.0,1423.1568301030527,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,1165.0400911652778,0.0,2525.7408456226012,2105.970977036365,0.0,0.0,0.0,3444.7897959208094,0.0,2949.242885744042,0.0,402.7446780483242,0.0,1353.85952705811,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,3861.206616138615,1091.7821631865177,0.0,2560.316452975507,2148.4372647933164,0.0,0.0,0.0,2335.6763683255735,0.0,1949.711690087499,0.0,397.2461966615907,0.0,1175.3621704190555,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,3773.990100967393,1063.733786078282,0.0,2576.886782530779,2146.7280169911996,0.0,0.0,0.0,1655.4485980821255,0.0,1525.8329083963304,0.0,381.7373128554103,0.0,1029.9840765126269,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,3490.658346240105,1072.239107225207,0.0,2438.9116705650745,2106.8675750873226,0.0,0.0,0.0,1287.456508698972,0.0,1367.7066500055323,0.0,379.80969653216687,0.0,1015.7205759483661,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,2749.8861013502155,1139.6327929354636,0.0,2289.297496343748,2146.2803742164006,0.0,0.0,0.0,1006.7542488397099,0.0,1194.1843341068,0.0,386.82203196002735,0.0,1116.6328628784345,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,2171.172793910575,1252.9039772464062,0.0,2343.5227969179687,2129.3536184675463,0.0,0.0,0.0,931.9611102060098,0.0,1098.1685873451352,0.0,389.5481221065959,0.0,1027.7901065819383,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,1824.205985019278,1285.0572322091468,0.0,2505.02706479492,2139.752515062132,0.0,0.0,0.0,929.1852779899269,0.0,1082.1392822907746,0.0,393.0254136363713,0.0,926.4205343342599,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,1542.652678823065,1280.48769088109,0.0,2603.906682576416,2113.0408472923837,0.0,0.0,0.0,908.4357970113977,0.0,1076.4049156330934,0.0,388.7249711951195,0.0,907.1121839685641,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,1333.5664355954086,1243.8803129581627,0.0,2763.4581875795984,2159.6640693066543,0.0,0.0,0.0,837.7460563349697,0.0,1049.9132250587343,0.0,386.6633779671042,0.0,915.850354078305,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,1210.0197988451455,1216.2936919864571,0.0,2786.9279478294766,2164.936036983079,0.0,0.0,0.0,777.1346251331556,0.0,1071.8594884425745,0.0,398.0619034663432,0.0,951.7764397883221,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,1151.773344725219,1050.236296577013,0.0,2753.342709890927,2128.8503651129768,0.0,0.0,0.0,746.47578424022,0.0,1058.1906103687415,0.0,399.27113257457927,0.0,1050.434332032158,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,1086.1895430950658,987.5112409098227,0.0,2790.595133211763,2127.062952648575,0.0,0.0,0.0,734.2821691712652,0.0,1045.3447730373616,0.0,371.9518533968876,1556.9434674722304,1047.5128396788768,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,1007.9610576071103,959.5106422246255,0.0,2877.0182842128165,2118.2303428049654,0.0,0.0,0.0,735.1927543099607,0.0,1040.517580155055,0.0,380.3582081141552,1182.2177337591663,1014.7985994085445,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,974.2279313283725,904.6814890626957,0.0,2881.6296790502925,2167.581496486103,0.0,0.0,0.0,770.2026221775837,0.0,967.4875538174066,0.0,375.0428051562686,919.7939742124461,946.6599995722918,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,993.2567239326809,967.6072527906811,0.0,2775.8976369009924,2156.388176391474,0.0,0.0,0.0,798.4373549592779,0.0,962.4421144454709,0.0,369.8146892306878,473.14073972176453,896.5796656099549,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,1058.4853872751676,1022.6302820060316,0.0,2740.97951842819,2127.6185762199957,0.0,0.0,0.0,795.9723641216251,0.0,995.8598076572445,0.0,378.45205167944334,365.21644931033507,891.1955874055011,0.0,0.0,0.0,0.0,3927.8520486749103
20,0.0,0.0,1062.5241739731089,1041.2870353443764,0.0,2807.810161549164,2142.414761811803,0.0,0.0,0.0,803.3793124473788,0.0,1019.9283858030324,0.0,629.1908697704723,348.4605217256094,873.5381242276387,0.0,0.0,0.0,0.0,2447.3704874718287
21,0.0,0.0,1049.6276537558367,956.1698093309489,0.0,2859.159702077982,2084.6291226493972,0.0,0.0,0.0,797.6051373746003,0.0,1029.1318014322446,0.0,732.3352456026064,563.7638627948504,859.8902448816767,0.0,0.0,0.0,0.0,2474.7583426376113
22,0.0,0.0,989.689758351533,963.0012395945645,0.0,2940.93983407997,2113.7295014787064,0.0,0.0,0.0,815.6583499257484,0.0,1038.222929364441,0.0,410.8840551840089,775.8241968712827,817.5831724018371,0.0,0.0,0.0,0.0,2523.9659053373193
