,IA_AnotherRag.wav,IA_Bach.wav,IA_Beethoven.wav,IA_Breathless.wav,IA_Chopin.wav,IA_ComingHome.wav,IA_FromTheWillowsKeep.wav,IA_InventionNo1.wav,IA_InventionNo2.wav,IA_InventionNo3.wav,IA_Mahler.wav,IA_Mazurka.wav,IA_Messiaen.wav,IA_Mozart.wav,IA_MozartActI.wav,IA_MozartActII.wav,IA_Prescience.wav,IA_SonataI.wav,IA_SonataII.wav,IA_SpaceTime.wav,IA_Suite.wav,IA_\Vivaldi.wav
575,1044.360352,1130.493164,1055.126953,5157.202148,861.328125,4414.306641,4382.006836,753.6621094,1399.658203,979.7607422,1087.426758,796.7285156,2174.853516,1130.493164,3520.678711,5060.302734,645.9960938,1173.55957,775.1953125,2088.720703,882.8613281,2982.348633
576,1162.792969,1130.493164,861.328125,4791.137695,861.328125,4435.839844,4392.773438,829.0283203,1399.658203,882.8613281,1173.55957,882.8613281,2174.853516,1130.493164,3725.244141,6309.228516,656.7626953,1173.55957,775.1953125,2088.720703,882.8613281,3100.78125
577,1302.758789,1130.493164,882.8613281,4209.741211,753.6621094,4435.839844,4382.006836,1324.291992,1399.658203,796.7285156,1098.193359,893.6279297,1948.754883,1130.493164,2185.620117,5857.03125,732.1289063,1173.55957,732.1289063,2099.487305,829.0283203,2960.81543
578,1162.792969,1130.493164,882.8613281,4080.541992,742.8955078,4403.540039,4382.006836,1399.658203,1410.424805,796.7285156,1087.426758,785.9619141,1873.388672,1130.493164,1539.624023,4952.636719,732.1289063,1195.092773,645.9960938,2099.487305,785.9619141,2939.282227
579,1216.625977,1119.726563,807.4951172,4005.175781,753.6621094,4403.540039,4382.006836,1388.891602,1410.424805,796.7285156,1108.959961,721.3623047,2164.086914,1119.726563,1227.392578,3639.111328,732.1289063,829.0283203,645.9960938,2088.720703,872.0947266,3143.847656
580,1302.758789,1119.726563,915.1611328,3854.443359,742.8955078,4209.741211,4382.006836,1227.392578,1410.424805,796.7285156,1152.026367,775.1953125,2217.919922,1119.726563,1162.792969,1851.855469,678.2958984,656.7626953,656.7626953,2088.720703,872.0947266,3154.614258
581,1313.525391,1119.726563,882.8613281,3477.612305,742.8955078,4242.041016,3197.680664,979.7607422,1367.358398,796.7285156,1162.792969,785.9619141,2217.919922,1119.726563,1055.126953,1830.322266,656.7626953,398.3642578,635.2294922,2099.487305,818.2617188,3154.614258
582,1291.992188,1119.726563,807.4951172,3143.847656,742.8955078,4435.839844,4382.006836,947.4609375,1227.392578,796.7285156,1108.959961,785.9619141,2433.251953,1119.726563,1044.360352,2357.885742,602.9296875,398.3642578,635.2294922,2099.487305,829.0283203,3133.081055
583,1227.392578,1119.726563,742.8955078,3068.481445,742.8955078,4446.606445,4382.006836,936.6943359,1216.625977,796.7285156,1173.55957,785.9619141,2207.15332,1119.726563,1130.493164,2659.350586,850.5615234,398.3642578,635.2294922,2088.720703,872.0947266,3111.547852
584,1162.792969,1108.959961,764.4287109,2605.517578,742.8955078,4425.073242,4382.006836,936.6943359,1152.026367,796.7285156,1130.493164,785.9619141,2174.853516,1108.959961,1130.493164,2670.117188,1195.092773,398.3642578,624.4628906,2088.720703,872.0947266,2939.282227
585,1065.893555,1098.193359,775.1953125,2508.618164,742.8955078,4392.773438,3079.248047,936.6943359,1022.827148,796.7285156,1044.360352,796.7285156,2207.15332,1098.193359,1055.126953,2627.050781,1184.326172,398.3642578,624.4628906,2099.487305,850.5615234,2777.783203
586,1141.259766,1087.426758,785.9619141,2627.050781,753.6621094,4414.306641,3273.046875,936.6943359,958.2275391,796.7285156,990.5273438,904.3945313,2196.386719,1087.426758,1065.893555,2088.720703,1162.792969,398.3642578,635.2294922,2099.487305,829.0283203,2745.483398
587,1141.259766,1076.660156,796.7285156,2605.517578,775.1953125,4382.006836,4392.773438,947.4609375,947.4609375,796.7285156,979.7607422,882.8613281,2174.853516,1076.660156,1087.426758,2627.050781,1173.55957,398.3642578,635.2294922,2088.720703,818.2617188,2928.515625
588,1141.259766,1108.959961,785.9619141,2508.618164,829.0283203,4231.274414,4392.773438,936.6943359,1248.925781,796.7285156,968.9941406,796.7285156,2207.15332,1108.959961,1087.426758,7342.822266,1141.259766,387.5976563,624.4628906,2088.720703,796.7285156,2950.048828
589,1324.291992,1098.193359,785.9619141,2497.851563,829.0283203,4392.773438,4360.473633,936.6943359,1313.525391,796.7285156,915.1611328,850.5615234,2196.386719,1098.193359,1087.426758,8484.082031,785.9619141,387.5976563,635.2294922,2088.720703,839.7949219,3305.34668
590,1496.557617,1108.959961,785.9619141,2530.151367,861.328125,4392.773438,4382.006836,925.9277344,1248.925781,796.7285156,968.9941406,829.0283203,2196.386719,1108.959961,1076.660156,8613.28125,785.9619141,387.5976563,635.2294922,2088.720703,753.6621094,3488.378906
591,1324.291992,1119.726563,775.1953125,2508.618164,861.328125,4188.208008,4382.006836,925.9277344,1108.959961,796.7285156,958.2275391,818.2617188,2196.386719,1119.726563,1087.426758,8322.583008,753.6621094,355.2978516,624.4628906,2088.720703,742.8955078,3736.010742
592,1324.291992,1098.193359,732.1289063,2648.583984,785.9619141,4177.441406,4392.773438,925.9277344,1195.092773,785.9619141,925.9277344,872.0947266,2196.386719,1098.193359,1087.426758,8139.550781,1281.225586,312.2314453,624.4628906,2077.954102,807.4951172,3639.111328
593,1388.891602,1098.193359,689.0625,3736.010742,753.6621094,4371.240234,4382.006836,925.9277344,1248.925781,785.9619141,904.3945313,785.9619141,2196.386719,1098.193359,1055.126953,7482.788086,1561.157227,387.5976563,624.4628906,2088.720703,742.8955078,3305.34668
594,1399.658203,1087.426758,785.9619141,5178.735352,753.6621094,4414.306641,4338.94043,872.0947266,1238.15918,785.9619141,904.3945313,764.4287109,2121.020508,1087.426758,1065.893555,3133.081055,1399.658203,387.5976563,624.4628906,2088.720703,742.8955078,3305.34668
595,1399.658203,1087.426758,796.7285156,5900.097656,753.6621094,4242.041016,3154.614258,818.2617188,1119.726563,785.9619141,904.3945313,678.2958984,1959.521484,1087.426758,1076.660156,2185.620117,1388.891602,322.9980469,624.4628906,2088.720703,775.1953125,3305.34668
