,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav,IA_AnotherRag.wav,IA_Bach.wav,IA_Beethoven.wav,IA_Breathless.wav,IA_Chopin.wav,IA_ComingHome.wav,IA_FromTheWillowsKeep.wav,IA_InventionNo1.wav,IA_InventionNo2.wav,IA_InventionNo3.wav,IA_Mahler.wav,IA_Mazurka.wav,IA_Messiaen.wav,IA_Mozart.wav,IA_MozartActI.wav,IA_MozartActII.wav,IA_Prescience.wav,IA_SonataI.wav,IA_SonataII.wav,IA_SpaceTime.wav,IA_Suite.wav,IA_\Vivaldi.wav
1566,-362.0973511,-375.8716431,-341.394104,-260.1970825,-344.3469849,-503.0550232,-163.0261078,-234.5718842,-236.0593719,-323.9101563,-486.0014343,-486.0014343,-244.693573,-407.4236755,-364.4317932,-387.721405,-350.9071655,-204.0370026,-184.1295166,-281.8104553,-239.4195404,-361.7140198,-247.4459839,-362.1690979,-358.4872437,-647.4015503,-316.0121155,-263.858551,-312.9000549,-386.2288513,-311.8941956,-344.4175415,-239.4195404,-458.9348145,-399.1595154,-501.5240784,-440.9525757,-389.2669373,-628.6593628,-493.0716248,-197.8344421
1567,-372.9757385,-385.8117676,-343.8424072,-250.5709076,-335.5233765,-486.0283508,-161.1802063,-232.2606659,-227.8526459,-325.4777832,-488.007843,-488.007843,-236.4817505,-426.3042297,-367.4249268,-384.9050903,-342.3990173,-206.3435822,-189.1719666,-289.7383423,-236.7040405,-358.0154114,-246.8325653,-363.4096375,-352.6420288,-647.4060669,-323.8275757,-277.6697998,-318.3032227,-386.0486145,-330.96875,-349.6210022,-236.7040405,-468.3725281,-358.690155,-503.3748169,-442.1835938,-390.6400757,-632.355957,-495.427002,-200.7683716
1568,-380.7181702,-386.0854797,-347.7634277,-218.462326,-319.7823181,-445.5002136,-159.8221436,-231.4531097,-223.0737152,-325.4655151,-488.4038696,-488.4038696,-231.2537994,-443.0856934,-379.5603027,-382.6779175,-327.0869446,-217.7353973,-192.6667023,-292.6332397,-239.3719482,-353.4947205,-249.4726257,-372.5449524,-350.8833923,-647.4541016,-323.4480896,-286.1749573,-323.3331604,-387.8734436,-342.374115,-358.1523743,-239.3719482,-473.1202087,-305.7229919,-501.60849,-443.5718689,-392.0812988,-636.7460327,-495.618927,-194.5365753
1569,-381.2791138,-389.4420166,-350.2900391,-201.2036133,-309.9570923,-442.4728394,-158.699707,-227.7628784,-224.56073,-321.7485046,-490.2150269,-490.2150269,-226.4308472,-440.2714539,-382.7786865,-380.5987549,-320.7883606,-227.5725708,-190.3846283,-294.1188965,-238.1962738,-352.0366516,-251.5417938,-381.9341125,-352.9340515,-647.4870605,-327.0145264,-292.1110535,-329.3174133,-385.5391235,-346.0085754,-357.806427,-238.1962738,-475.4656372,-303.7817383,-499.6659546,-447.2371826,-391.1832886,-640.7376099,-501.4824524,-189.4644775
1570,-386.7050476,-385.9092712,-354.0836182,-210.6508789,-311.087738,-439.918335,-162.4447937,-230.0737152,-225.9035034,-307.0742798,-490.6974792,-490.6974792,-215.4228363,-433.60672,-371.0364075,-378.1173706,-312.8793945,-233.7213135,-188.7627258,-277.9199219,-225.1174927,-345.8730469,-253.7986298,-387.596283,-354.3594055,-647.5673218,-332.1992188,-299.198761,-330.6407776,-383.8900146,-310.4125671,-354.934082,-225.1174927,-480.7745667,-318.6982117,-495.8862305,-449.5601196,-391.6097412,-637.1958008,-505.2308044,-185.5679626
1571,-391.8125916,-378.5447083,-363.1352234,-218.619278,-312.7251892,-427.9493408,-162.6421509,-230.5773163,-227.2166138,-300.2466736,-491.4396362,-491.4396362,-206.156601,-446.2485962,-357.5883179,-372.2133484,-310.9000244,-237.4938507,-193.3889465,-272.6696167,-216.3480377,-346.4729919,-249.2577209,-389.5623474,-355.9956665,-647.6234741,-336.7316895,-307.3441162,-331.7344971,-385.1787109,-287.5547485,-353.4259033,-216.3480377,-484.0895996,-322.8737488,-493.9107971,-452.6122131,-393.5785828,-636.7041016,-505.3787842,-183.3853149
1572,-397.1930237,-381.5686035,-365.1651001,-220.5012207,-320.0351257,-465.0995178,-162.4713287,-223.7858734,-228.6219788,-302.5809631,-491.2333069,-491.2333069,-204.7283783,-452.8822937,-367.027771,-369.3994446,-321.8976135,-249.4446716,-177.6838379,-281.1674805,-210.4937439,-346.6654663,-256.8276062,-394.7982788,-353.5988159,-647.6555786,-343.228302,-313.0643616,-335.5151672,-388.7442017,-284.2519836,-357.3563538,-210.4937439,-486.4911804,-333.9826965,-496.401825,-456.1382446,-373.6596069,-642.1469727,-506.3630676,-186.1589813
1573,-404.6058655,-384.29422,-327.5454102,-226.0378265,-327.3450012,-484.2580872,-167.2151184,-222.0036469,-228.058075,-307.1692505,-489.7839661,-489.7839661,-202.6502228,-448.1522522,-383.6763306,-365.6734619,-328.4689026,-259.2971802,-149.3302155,-294.4143677,-204.3476868,-345.6751709,-264.0522766,-402.9169922,-346.8344727,-647.6303711,-351.6442261,-317.7705078,-336.4676819,-391.549408,-279.1147766,-347.0423279,-204.3476868,-490.4413757,-340.7862244,-499.3515625,-458.7789307,-341.8508911,-642.1611328,-508.102356,-195.47229
1574,-407.8891602,-381.9122314,-274.3951111,-230.2677765,-332.5147705,-479.6551514,-171.5908508,-219.0928345,-227.1009064,-316.4613342,-490.7028503,-490.7028503,-199.0906067,-437.2689819,-384.167572,-357.9691467,-333.1662292,-279.0524597,-141.0341339,-301.6217651,-203.6269684,-346.5776672,-266.1869507,-409.5491333,-340.9270935,-647.5579834,-359.5883789,-245.0856018,-300.3766479,-382.7676392,-281.4821777,-340.56073,-203.6269684,-489.9237061,-347.4596863,-494.0596008,-460.7176819,-340.2085266,-634.9710083,-510.0150146,-193.1122284
1575,-411.1943359,-368.7485962,-258.0682373,-231.9876251,-339.2340698,-474.0774536,-170.1990814,-224.9980164,-225.5743561,-324.4567566,-491.3092957,-491.3092957,-200.3146667,-434.8079834,-380.8939514,-354.6052551,-333.8977356,-279.0374451,-142.0907593,-304.3922729,-205.6400604,-346.9690247,-266.7700806,-410.368866,-345.098877,-647.5725098,-368.5481567,-200.4948883,-283.0487976,-375.585907,-287.4862366,-341.9545288,-205.6400604,-491.8572388,-356.4425049,-487.0947876,-461.3985291,-347.7157898,-635.74646,-506.4243164,-188.9805908
1576,-414.2008972,-377.1945801,-269.5554199,-236.6916656,-323.7768555,-467.5420837,-168.4655151,-229.8267059,-223.4790955,-324.5617676,-491.9572754,-491.9572754,-203.3749237,-436.1925049,-389.1845093,-355.2884521,-352.2572632,-256.3087769,-153.6038666,-306.341156,-206.2627106,-346.296875,-265.8586731,-379.2565308,-344.7416382,-647.5776367,-376.6177368,-217.4591064,-299.3076782,-376.6326294,-292.3528137,-344.1472778,-206.2627106,-497.8199463,-362.0991821,-480.0259705,-459.7854004,-351.5011902,-645.4342041,-506.8771362,-184.8054199
1577,-422.5565796,-393.910614,-285.0161133,-244.3838348,-302.9397583,-463.5345459,-171.4764404,-221.5088501,-222.725174,-319.8162842,-491.5040283,-491.5040283,-202.7388458,-438.986084,-396.0025024,-356.8709106,-356.1942444,-250.7585297,-171.0663452,-307.7963257,-205.1294708,-345.4716797,-263.7048035,-351.2134399,-341.7198181,-647.5952148,-380.901123,-244.7027283,-312.4672241,-376.8647766,-297.4145203,-349.061554,-205.1294708,-498.694397,-354.7478638,-474.7093811,-460.5477295,-357.2504272,-652.4137573,-507.7971802,-186.5273743
1578,-422.2554321,-397.6399231,-296.9161682,-253.137085,-295.4645081,-458.4507141,-165.9544983,-223.5570221,-221.796936,-314.2390137,-488.5369873,-488.5369873,-198.001358,-439.3535767,-392.9923706,-358.1378479,-335.6159973,-262.8937683,-174.0793304,-310.5786438,-207.5710144,-345.5221252,-260.0270691,-345.967804,-342.1022034,-647.6095581,-298.7887573,-259.7848816,-320.7983093,-371.1741333,-300.4653931,-348.3869324,-207.5710144,-494.9919128,-329.4689331,-471.4185486,-457.8355713,-360.6985474,-646.1213379,-511.1343689,-196.2867432
1579,-411.6411743,-381.796051,-311.2746582,-234.663147,-297.526947,-457.1698303,-163.0277557,-226.9533997,-228.491684,-319.0056763,-485.8192444,-485.8192444,-195.5371246,-435.6560669,-393.3081055,-347.3362122,-329.3782959,-284.349884,-176.633194,-315.2118835,-204.1152496,-343.3160095,-263.9741821,-346.8191833,-350.0062866,-647.6575928,-247.8844452,-270.2207031,-326.4450073,-369.9667358,-301.6935425,-350.5488892,-204.1152496,-495.9475708,-325.7364807,-471.6826782,-459.306488,-360.68927,-645.8375244,-512.9233398,-198.1956329
1580,-400.5966187,-385.8935852,-326.2121277,-209.3062592,-304.058075,-458.4271851,-162.5979767,-226.6838684,-229.4272766,-318.4445801,-483.4898071,-483.4898071,-196.824173,-437.2228699,-386.1081848,-344.8818665,-343.48172,-306.9500732,-170.0666504,-299.3979492,-206.4854736,-342.4098816,-266.5128479,-351.2945557,-352.4634705,-647.7559204,-250.9065552,-276.7472534,-333.0944519,-371.4076538,-307.0447083,-356.1986084,-206.4854736,-498.6567993,-337.4488525,-472.7225037,-463.2993469,-361.246582,-651.9370117,-510.6702271,-196.5163116
1581,-383.2896423,-398.0838928,-334.7744751,-200.6378784,-309.9772949,-465.4957581,-163.9427948,-226.5642395,-228.6206665,-307.1809082,-485.6822205,-485.6822205,-178.8532562,-441.2510376,-387.4662476,-348.2115784,-363.4270325,-295.7750244,-168.3274536,-268.4093933,-208.7508087,-341.2728882,-269.266571,-357.2521362,-348.776947,-647.8265991,-274.0027466,-280.895752,-340.0918274,-370.7714539,-311.5674438,-359.6452637,-208.7508087,-500.4740601,-346.2122192,-468.9983215,-466.721405,-362.9981079,-650.1503296,-509.6078491,-191.9973602
1582,-362.0998535,-398.8943481,-338.7720642,-210.9470673,-312.1784973,-459.421875,-166.9286346,-218.9876251,-225.6231232,-305.6452637,-485.3028564,-485.3028564,-171.938797,-439.8273926,-384.592804,-344.7757568,-356.6575317,-278.6375122,-178.5292816,-263.4564819,-203.390213,-339.1939087,-267.6664429,-361.5938721,-346.0272827,-647.8384399,-283.5800781,-234.134552,-345.2104797,-373.3778381,-299.1271362,-362.8288879,-203.390213,-501.4770508,-352.8254089,-473.2583618,-474.0069885,-363.7649231,-647.9465942,-510.4884338,-186.5839539
1583,-347.1991272,-393.7021484,-337.6101685,-224.2407532,-317.962738,-444.5396118,-165.3505402,-214.2796631,-216.5440216,-314.880249,-483.1011047,-483.1011047,-178.8149719,-449.532196,-384.4453735,-341.3426208,-341.7749939,-284.1758118,-182.6785583,-271.394165,-200.052536,-336.8265076,-270.3668823,-366.4754028,-352.4104309,-647.7965698,-292.4967651,-192.7747498,-348.9002991,-375.4035645,-260.9718933,-361.1093445,-200.052536,-506.0950012,-358.6697083,-480.5667114,-480.5968628,-364.45401,-580.4067993,-511.9798279,-191.9599152
1584,-336.0794373,-393.115509,-340.7174683,-235.045929,-324.2080383,-448.4134216,-154.0191956,-219.2210999,-218.0588226,-324.3070068,-482.0484924,-482.0484924,-182.508255,-460.3459167,-386.2479248,-339.9803162,-343.5309448,-291.4986267,-180.2889709,-277.4656372,-198.779953,-334.8266602,-274.2251892,-374.8358459,-355.782959,-647.7629395,-298.1132813,-203.8185577,-351.1351318,-376.9127808,-261.6091919,-357.3067932,-198.779953,-508.7177734,-360.6438599,-482.9662781,-487.4421692,-366.3066406,-452.738739,-516.4901123,-193.9994354
1585,-331.1130981,-393.2169189,-346.0290833,-233.0612488,-327.0800476,-449.4806213,-149.6586914,-232.6431732,-216.0166016,-317.9470825,-482.4379272,-482.4379272,-180.7432556,-465.8639832,-380.4958496,-333.8349609,-353.1622009,-293.5923157,-177.8239288,-281.3112793,-203.8658447,-335.1758728,-269.731842,-381.4899597,-350.8432617,-647.7357178,-305.7334595,-224.4344177,-353.9683838,-372.1566772,-281.7952881,-359.4853821,-203.8658447,-509.4869995,-322.2270203,-475.211792,-492.895874,-365.2037659,-444.9732666,-516.8001099,-191.0344849
1586,-321.824707,-385.9711914,-287.6309814,-240.9184418,-326.4881592,-449.2249756,-150.847168,-244.8873291,-215.412323,-312.227356,-482.8652039,-482.8652039,-183.4543457,-466.2450867,-376.6712952,-326.5696411,-340.2597351,-293.0528259,-173.7772522,-289.4417114,-207.6838226,-332.6118469,-269.020752,-383.9561768,-349.9082642,-647.7511597,-313.1165771,-236.9995117,-359.5431213,-361.6622925,-290.5808716,-360.1763611,-207.6838226,-507.1413879,-289.1922913,-472.1157227,-497.0752258,-365.7103577,-548.8470459,-517.3779907,-193.7012939
1587,-314.0657043,-382.9653015,-233.1088562,-261.6893311,-288.1783142,-453.9127502,-149.9631805,-245.2010803,-212.0095215,-311.0709229,-483.3171387,-483.3171387,-188.1996765,-473.4372864,-366.1930847,-319.8953857,-339.4720459,-295.0454712,-179.2657166,-295.1147156,-210.1320343,-330.8214417,-273.822052,-372.0089111,-354.9623413,-647.7489014,-316.6111145,-244.9373322,-311.4181824,-358.1101685,-297.4336853,-355.6303406,-210.1320343,-507.2944336,-303.5033875,-478.7440796,-503.2305908,-367.7866821,-622.8366699,-519.9946899,-195.3706512
1588,-313.6955261,-387.8910522,-224.1320801,-262.331604,-272.9973755,-461.036499,-148.8569336,-240.9713135,-208.2684784,-308.8265076,-491.7334595,-491.7334595,-189.798172,-473.4188232,-367.6314697,-322.4307556,-336.1075745,-292.0568237,-187.8518372,-297.9231567,-212.4170074,-331.3432617,-274.1756897,-347.2017212,-354.8410034,-647.7943115,-321.6607666,-252.5703888,-273.1699524,-355.5108337,-301.3617249,-355.2862244,-212.4170074,-510.8656616,-321.0466309,-482.5637817,-509.6329041,-369.109314,-519.3887329,-518.1520386,-196.8630066
1589,-313.993866,-401.0163269,-233.4325409,-258.1487732,-284.0108337,-453.2650146,-145.0655975,-236.9045105,-211.5168152,-308.0930176,-489.5581055,-489.5581055,-191.0715179,-473.6614075,-370.2804565,-321.7351379,-320.2637024,-290.821167,-186.7890015,-272.0718079,-210.3624268,-334.2271423,-273.6333008,-340.2751465,-350.4484863,-647.8757935,-329.8757935,-260.3997192,-281.9399719,-358.5474854,-308.8537292,-354.4553223,-210.3624268,-512.9708862,-327.8250427,-474.9927979,-511.9080505,-369.8697205,-487.1672974,-509.4622192,-199.6236115
1590,-312.1678162,-401.4886169,-244.5004578,-249.0385742,-289.8736267,-442.964447,-141.5974121,-233.2562408,-218.5169525,-316.6809082,-488.6895447,-488.6895447,-194.0035095,-478.4987183,-376.0140381,-315.7489929,-317.9367676,-293.0773621,-168.5909119,-240.9203949,-201.8771057,-336.79422,-272.1342468,-344.1651917,-347.9820557,-647.9702759,-339.3958435,-267.5513611,-304.2202454,-360.8367004,-309.2763977,-353.5998535,-201.8771057,-513.5050659,-332.9215393,-467.996582,-512.8265991,-372.1420288,-542.9067993,-500.3775635,-205.7073517
1591,-306.6532288,-388.4044495,-258.0862427,-241.8358307,-291.4628906,-456.071167,-135.6056824,-221.998764,-224.4981537,-322.6256714,-490.6299133,-490.6299133,-197.9494629,-481.29422,-370.9854431,-317.3433228,-312.8731079,-290.6147766,-147.5646057,-243.4978943,-191.0561371,-331.9782104,-271.1420593,-351.3893433,-347.0248108,-647.9995728,-345.0709839,-243.3867645,-312.5710449,-355.7440491,-310.1286316,-355.3704529,-191.0561371,-511.4212646,-320.8578186,-465.7621765,-516.5921021,-377.1013794,-623.2512817,-485.0118103,-210.0353546
1592,-309.5229187,-383.3922729,-269.2640686,-242.3367157,-297.0786438,-468.4965515,-135.3324432,-218.1914825,-229.4252472,-325.1579895,-493.5363464,-493.5363464,-198.6602783,-473.8311462,-358.8913269,-317.3257141,-308.3668213,-282.5061035,-136.4943695,-258.1355286,-186.2494354,-327.1158447,-270.2310181,-356.256897,-352.2666321,-647.9915771,-352.226532,-224.692627,-319.6647034,-353.5312805,-316.7984924,-353.6380615,-186.2494354,-514.1929321,-291.4156494,-466.8656006,-521.3092651,-377.5770569,-547.7940063,-478.7685852,-203.5636292
1593,-307.1229248,-382.068634,-278.1795044,-237.7489624,-305.6374207,-474.463623,-130.6625366,-220.661377,-229.6799622,-318.9223633,-491.9872742,-491.9872742,-205.5660858,-469.9713745,-353.0899963,-315.5534668,-308.0001221,-279.4473572,-138.1709442,-265.9096375,-182.2766876,-315.9226074,-275.5003052,-361.6389771,-358.3148804,-647.925354,-361.7145996,-242.1316528,-324.8030701,-355.5812378,-324.5093384,-355.3804016,-182.2766876,-517.7038574,-293.683197,-467.5640869,-522.9677734,-375.6300964,-490.1115723,-480.2012024,-199.8388824
1594,-309.4451599,-383.7849731,-281.3576355,-245.5813293,-308.9429016,-481.3328857,-132.6658783,-222.376709,-221.6001587,-311.663208,-485.1388245,-485.1388245,-215.2437439,-472.8969727,-363.4302673,-316.4525146,-307.6504517,-277.5237122,-148.932663,-274.0424194,-188.3003235,-304.2431335,-275.9027405,-373.0446472,-363.4621277,-647.8851318,-369.2840576,-254.4980621,-329.9771729,-360.0300598,-314.6278687,-360.1693726,-188.3003235,-521.2855225,-307.8106995,-473.4005127,-524.7944946,-342.0086975,-516.2920532,-485.0282593,-201.4792023
1595,-310.007019,-385.4459839,-289.5509949,-250.0787659,-302.9067078,-474.5124817,-134.4078827,-221.0733948,-219.2664337,-307.1697998,-479.862915,-479.862915,-219.7554321,-479.8800964,-376.205658,-317.6360779,-307.8354492,-274.0330811,-161.1986694,-279.5819702,-202.4552765,-297.6355896,-278.9250183,-381.0805664,-360.8461609,-647.9030151,-371.271698,-261.2280884,-337.9871521,-361.5772095,-262.5862427,-360.0357361,-202.4552765,-521.0807495,-321.3156128,-472.6307373,-529.5484619,-298.2338257,-614.8974609,-486.2415466,-193.7197571
1596,-303.1517639,-376.4273682,-297.1132202,-251.2362823,-263.7342834,-463.2158813,-134.4088593,-221.651825,-230.7887115,-303.7178955,-480.7859497,-480.7859497,-219.0120392,-482.5115967,-373.1265564,-319.7026062,-309.3505249,-277.2213745,-180.0265198,-283.3392944,-209.6103668,-300.9724731,-286.8326416,-381.3287354,-351.2952881,-647.8982544,-376.7553711,-266.6793823,-341.7165833,-361.1938477,-249.5824127,-361.7670593,-209.6103668,-521.2741699,-344.3463745,-469.7860413,-531.4182129,-297.8111877,-619.0960083,-486.0933838,-197.748291
1597,-302.6373901,-378.3066406,-300.4153748,-264.952301,-247.3481445,-451.767334,-138.6308594,-221.9889069,-240.9518738,-304.9154968,-480.7469482,-480.7469482,-220.943161,-478.7250061,-373.9807739,-322.0171814,-321.6759338,-269.5667114,-181.5060272,-290.0523682,-212.8151245,-300.4909668,-294.091156,-382.0202942,-353.6896667,-647.9094238,-381.8033752,-272.7089539,-344.4028931,-362.5275574,-264.8360901,-362.9976501,-212.8151245,-525.9780884,-367.3428345,-470.9528809,-534.1201782,-312.9171448,-618.9498291,-487.903656,-194.3598938
1598,-301.1176758,-375.0898438,-303.5045166,-272.6856995,-245.1442566,-424.2709351,-145.0321045,-225.5174255,-243.9936523,-312.8305359,-480.13974,-480.13974,-221.0171814,-473.0324097,-368.7380676,-324.832428,-333.5209961,-258.5153809,-184.6932373,-295.8445435,-218.7358856,-301.1397095,-291.6416321,-386.098114,-353.926239,-647.9620361,-385.2396545,-257.872467,-350.4969788,-363.1075134,-275.3544312,-362.5900574,-218.7358856,-526.0862427,-373.9116211,-471.254364,-542.0926514,-316.334198,-624.0509644,-487.236908,-190.7186127
1599,-292.5157471,-376.3482056,-305.5645142,-265.7659607,-250.758194,-398.8992004,-148.2549896,-224.3347626,-242.3095703,-315.0485535,-481.1486816,-481.1486816,-218.4241333,-468.0730896,-368.1691284,-323.6205444,-319.2033691,-250.1801453,-180.5879364,-294.7887268,-223.9785767,-304.0185852,-285.5722656,-359.5032043,-346.801178,-648.0210571,-389.1019897,-219.1152496,-357.0494385,-366.7440186,-278.4850769,-361.7378235,-223.9785767,-524.5250854,-386.7645264,-472.0362244,-545.2196045,-316.4884338,-628.5418701,-485.2570801,-187.2050018
