,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
2107,1331.594976,1587.63225,615.8149229,2196.879676,531.9944696,2125.345685,1632.096249,1169.671095,1209.683945,2334.265871,589.0589021,589.0589021,1518.394962,2024.804828,1118.535554,1879.38362,1359.821363,1516.95433,860.7809498
2108,1277.312623,1445.643101,572.3436343,1961.076034,503.3557417,2225.802193,1571.923136,1241.079538,1185.951112,2319.592892,586.854038,586.854038,1508.082181,2019.979877,1088.274937,1849.563894,1374.11577,1565.313205,875.5757337
2109,1283.441916,1434.057519,528.0482239,1932.071844,487.9415458,2362.878612,1530.701343,1264.329562,1136.19635,2267.836915,590.0390884,590.0390884,1547.109366,2134.015617,1088.644548,1823.483979,1389.997319,1438.156449,886.3765088
2110,1278.117035,1408.946046,498.0236981,2041.164253,486.4997815,2478.616565,1557.04126,1268.108906,1182.862415,2296.82202,592.0804939,592.0804939,1592.169081,2153.620109,1135.310659,1805.413773,1340.745391,1617.006364,897.2534934
2111,1323.886855,1330.37709,468.1251059,2188.775549,481.0852354,2323.312525,1527.944285,1270.344033,1271.651945,2398.335941,601.8838095,601.8838095,1486.427725,2279.295015,1113.032619,1763.790212,1396.98659,1372.912733,906.6552744
2112,1387.976434,1371.463755,456.2557399,2118.436793,485.8183328,2193.393827,1538.759336,1238.134905,1238.736608,2441.366324,605.3054412,605.3054412,1438.007761,2266.173463,1158.963053,1714.083093,1515.674296,1112.141357,882.7439189
2113,1402.347329,1352.16828,451.923139,1894.897961,490.8540174,2212.127915,1528.801053,1146.084823,1216.991697,2377.786513,590.0134298,590.0134298,1315.919485,2156.199548,1142.966082,1713.041832,1561.617345,978.2568613,823.5093889
2114,1312.006291,1269.435746,455.8230764,1834.954359,502.8018826,2347.637154,1427.995498,1143.093268,1217.800907,2438.791635,616.5985466,616.5985466,1257.440118,1900.285682,1085.614831,1735.228164,1662.630892,943.5927528,806.8968432
2115,1285.389994,1097.002398,458.3134344,2001.016854,502.9404554,2342.995076,1394.342565,1268.111608,1160.144537,2439.956218,599.8515388,599.8515388,1246.40315,1834.292899,1030.395221,1779.953507,1707.390049,1043.259693,822.4692033
2116,1302.763938,986.772365,447.853019,1977.540445,505.9314532,2396.365766,1389.354877,1207.374603,1131.595624,2329.432826,617.923527,617.923527,1262.983561,1844.998885,1060.430198,1800.182738,1752.790509,1173.158559,780.2109469
