,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
2177,-357.5477905,-471.5809937,-457.1077576,-229.8426514,-368.6911011,-493.0445251,-161.4527588,-220.1214447,-203.4859467,-325.0622559,-585.1760864,-585.1760864,-189.4520416,-272.4593201,-361.6838684,-402.5728455,-286.191803,-240.8431854,-175.1221008
2178,-358.7768555,-464.4922791,-459.5903931,-237.1208191,-370.9499207,-479.5053406,-163.8624268,-212.0541229,-207.2981262,-320.4583435,-587.8616943,-587.8616943,-189.4975433,-281.9391479,-365.6022034,-407.0755615,-305.1346436,-261.4029236,-171.8978271
2179,-353.6681519,-449.8296204,-462.4649658,-245.131958,-374.148468,-476.4118042,-170.3838806,-208.435257,-211.8217163,-319.1864929,-591.4786987,-591.4786987,-195.0860748,-284.7931519,-359.8321838,-408.9569092,-312.4318848,-286.6565552,-170.6691284
2180,-352.2935791,-444.2434082,-465.463562,-249.9702759,-380.2407532,-479.3056946,-175.7351532,-205.0546417,-210.3460541,-318.1362,-586.046936,-586.046936,-193.5016785,-291.2246094,-361.9804382,-417.1754761,-303.9085999,-296.9233704,-174.6163635
2181,-351.0939941,-452.1124268,-459.3153076,-244.2266083,-387.2822571,-487.7888794,-170.0106964,-203.1550751,-202.9747314,-311.2199097,-574.3125,-574.3125,-192.228302,-293.2919006,-359.3497314,-426.3005371,-299.7138062,-294.0597534,-176.4207153
2182,-342.1624756,-458.5805054,-441.7665405,-226.8370667,-394.4900818,-493.8754883,-167.0123291,-202.4812164,-194.5808105,-306.6324158,-588.8727417,-588.8727417,-187.3152313,-294.2994995,-351.5180969,-427.1099243,-311.9398804,-276.2059326,-180.1604919
2183,-340.452301,-467.4089661,-445.6766968,-188.6977539,-397.0167542,-496.0707092,-162.7414093,-205.8575745,-201.0049438,-305.543335,-603.6567383,-603.6567383,-187.6572571,-285.9007263,-348.6670227,-426.0289917,-330.0687866,-272.2585144,-185.3355865
2184,-302.1935425,-469.7418518,-464.6898193,-154.7316132,-398.0948181,-490.0550232,-161.0063782,-201.9875641,-207.8827057,-309.0516052,-596.6081543,-596.6081543,-194.3530273,-282.2003479,-354.1835938,-430.6463928,-331.813324,-268.3181458,-191.888855
2185,-273.3726196,-467.0430603,-452.1620789,-144.0204163,-401.9269409,-471.0276184,-167.0195618,-187.3007965,-204.6302643,-315.3833923,-592.4806519,-592.4806519,-196.5429535,-288.2797546,-353.7949524,-436.7655029,-313.9525452,-264.5600281,-192.6818237
2186,-279.9211731,-473.3156128,-431.0932617,-141.8948212,-405.29953,-449.5567322,-165.7899017,-183.5914459,-199.3110657,-311.6007996,-584.4243774,-584.4243774,-187.7964935,-292.8952942,-357.4327393,-438.7754517,-297.0046997,-260.4263,-196.12854
